accuracy,precision,recall,f1,auroc,recall_malignant,tn,fp,fn,tp,n_test_images,n_test_patients,inference_time_sec,inference_time_ms_per_image,end_to_end_inference_time_ms_per_image,threshold,model_only_inference_time_ms_per_image,model_only_inference_time_ms_std,model_only_timing_n_images,model_only_timing_n_batches,model_only_timing_repeats,model,training_mode,dataset_config,split_type,fold,n_params,n_trainable_params,training_time_sec,avg_epoch_time_sec,epochs_run,n_train,n_val,model_size_mb,model_size_is_estimate,experiment_id,frozen_stage_time_sec,finetune_stage_time_sec
0.8487394957983193,0.8054054054054054,0.9430379746835443,0.8688046647230321,0.9110067601288507,0.9430379746835443,207,72,18,298,595,7,5.607905709002807,9.425051611769424,9.425051611769424,0.5,6.81686978750804,0.09518592486767159,80,5,3,efficientnetb0,frozen,diversity_1p5GB,kfold_patient_wise,2,4050852,1281,144.00660054200125,9.550998447200012,15,1913,330,16.2753963470459,False,20260705_140701_208551_diversity_1p5GB_kfold_patient_wise_efficientnetb0_frozen_fold2,,
0.8470588235294118,0.8032345013477089,0.9430379746835443,0.8675400291120815,0.9102014427657548,0.9430379746835443,206,73,18,298,595,7,6.36514837499999,10.69772836134452,10.69772836134452,0.5,6.785547387516999,0.018303128826759003,80,5,3,efficientnetb0,finetuned,diversity_1p5GB,kfold_patient_wise,2,4050852,1484641,208.74386025000422,10.387819333250809,20,1913,330,27.602157592773438,False,20260705_140815_988052_diversity_1p5GB_kfold_patient_wise_efficientnetb0_finetuned_fold2,144.00660054200125,64.73725970800297
0.6436170212765957,0.6165919282511211,0.9016393442622951,0.7323568575233023,0.6912209633521109,0.9016393442622951,88,171,30,275,564,6,4.121519917003752,7.307659427311617,7.307659427311617,0.5,2.707554687458469,0.15852845034817012,80,5,3,mobilenetv2,frozen,diversity_1p5GB,kfold_patient_wise,3,2259265,1281,40.33128341699921,8.021968166601436,5,1948,326,9.194818496704102,False,20260705_140904_849894_diversity_1p5GB_kfold_patient_wise_mobilenetv2_frozen_fold3,,
0.6666666666666666,0.6382978723404256,0.8852459016393442,0.7417582417582418,0.7237799860750681,0.8852459016393442,106,153,35,270,564,6,4.282370832996094,7.592856086872507,7.592856086872507,0.5,2.722204687415797,0.057668115894909104,80,5,3,mobilenetv2,finetuned,diversity_1p5GB,kfold_patient_wise,3,2259265,1512001,84.34398612499353,8.392971633200796,10,1948,326,20.727622985839844,False,20260705_140955_206656_diversity_1p5GB_kfold_patient_wise_mobilenetv2_finetuned_fold3,40.33128341699921,44.01270270799432
0.6932624113475178,0.6896551724137931,0.7868852459016393,0.7350689127105666,0.7530856383315399,0.7868852459016393,151,108,65,240,564,6,5.698142084002029,10.103088801422038,10.103088801422038,0.5,6.800827600000048,0.19482147986759582,80,5,3,efficientnetb0,frozen,diversity_1p5GB,kfold_patient_wise,3,4050852,1281,54.78521683299914,10.901027082998189,5,1948,326,16.2753963470459,False,20260705_141101_657611_diversity_1p5GB_kfold_patient_wise_efficientnetb0_frozen_fold3,,
0.723404255319149,0.7018970189701897,0.8491803278688524,0.7685459940652819,0.7952148870181658,0.8491803278688524,149,110,46,259,564,6,6.569158750004135,11.647444592205913,11.647444592205913,0.5,6.712979687472398,0.1021773129249104,80,5,3,efficientnetb0,finetuned,diversity_1p5GB,kfold_patient_wise,3,4050852,1484641,118.848347500003,11.833095399899321,10,1948,326,27.602157592773438,False,20260705_141215_951567_diversity_1p5GB_kfold_patient_wise_efficientnetb0_finetuned_fold3,54.78521683299914,64.06313066700386
0.5523385300668151,0.49714285714285716,0.435,0.464,0.5529116465863454,0.435,161,88,113,87,449,6,4.0953123329964,9.120962879724722,9.120962879724722,0.5,2.7633343749585038,0.18392242846951598,80,5,3,mobilenetv2,frozen,diversity_1p5GB,kfold_patient_wise,4,2259265,1281,65.62067391700111,7.2536815784438256,9,1928,461,9.194818496704102,False,20260705_141330_595457_diversity_1p5GB_kfold_patient_wise_mobilenetv2_frozen_fold4,,
0.5367483296213809,0.48130841121495327,0.515,0.4975845410628019,0.5709638554216867,0.515,138,111,97,103,449,6,4.872579292001319,10.852069692653272,10.852069692653272,0.5,2.749519275039347,0.07304727630238152,80,5,3,mobilenetv2,finetuned,diversity_1p5GB,kfold_patient_wise,4,2259265,1512001,112.77301075000287,8.014895383784667,14,1928,461,20.727622985839844,False,20260705_141424_843921_diversity_1p5GB_kfold_patient_wise_mobilenetv2_finetuned_fold4,65.62067391700111,47.152336833001755
0.7906458797327395,0.6920289855072463,0.955,0.8025210084033614,0.9413654618473896,0.955,164,85,9,191,449,6,5.677715917001478,12.645247031183693,12.645247031183693,0.5,6.891340624952136,0.08962779057434112,80,5,3,efficientnetb0,frozen,diversity_1p5GB,kfold_patient_wise,4,4050852,1281,161.2809838749963,10.692998038934213,15,1928,461,16.2753963470459,False,20260705_141718_940674_diversity_1p5GB_kfold_patient_wise_efficientnetb0_frozen_fold4,,
0.8396436525612472,0.7601626016260162,0.935,0.8385650224215246,0.9507630522088354,0.935,190,59,13,187,449,6,6.651091874999111,14.813122216033653,14.813122216033653,0.5,7.055513537488878,0.2687126797296133,80,5,3,efficientnetb0,finetuned,diversity_1p5GB,kfold_patient_wise,4,4050852,1484641,298.0492471249963,11.40976170680845,26,1928,461,27.602157592773438,False,20260705_141946_172767_diversity_1p5GB_kfold_patient_wise_efficientnetb0_finetuned_fold4,161.2809838749963,136.76826325000002
